"","year","month","month_total"
"1",2007,1,1150.23379438784
"2",2007,2,941.517527721172
"3",2007,3,981.054580527253
"4",2007,4,653.547469628949
"5",2007,5,733.4812
"6",2007,6,595.489829338538
"7",2007,7,497.428015736787
"8",2007,8,568.671371599562
"9",2007,9,697.912861054506
"10",2007,10,821.308927721172
"11",2007,11,932.013494387839
"12",2007,12,1210.08754719392
"13",2008,1,1086.17441386059
"14",2008,2,822.238674915092
"15",2008,3,926.52794719392
"16",2008,4,803.499866666667
"17",2008,5,762.067094387839
"18",2008,6,715.750913860586
"19",2008,7,591.326394387839
"20",2008,8,205.734094387839
"21",2008,9,711.129866666667
"22",2008,10,845.717029338538
"23",2008,11,998.641758078609
"24",2008,12,948.513217434951
"25",2009,1,1049.18484719392
"26",2009,2,838.189853744181
"27",2009,3,912.685861054506
"28",2009,4,821.294827721172
"29",2009,5,753.569355442345
"30",2009,6,618.678975903933
"31",2009,7,459.912922109011
"32",2009,8,500.686783115604
"33",2009,9,710.530208248425
"34",2009,10,851.496713860586
"35",2009,11,917.812080527253
"36",2009,12,1015.11952772117
"37",2010,1,1046.16673082861
"38",2010,2,924.564527721172
"39",2010,3,839.179962074818
"40",2010,4,739.65344719392
"41",2010,5,814.891380527253
"42",2010,6,698.126494387839
"43",2010,7,536.480580527253
"44",2010,8,498.798589928943
"45",2010,9,699.670221223066
"46",2010,10,865.567280527253
"47",2010,11,743.306466666667
